ddf7d33b-7fde-44c1-98fc-07b636809943:[D, G, B, B, D, G, D, B, D, D, B, G, G, G, H, H, G, H, G, D]
ddf7d33b-7fde-44c1-98fc-07b636809943:[B, B, B, D, B, G, D, G, B, D, H, B, B, B, B, H, G, H, H, B]
ddf7d33b-7fde-44c1-98fc-07b636809943:[B, D, H, D, G, H, B, G, G, H, H, B, H, G, H, B, B, D, D, D]
ddf7d33b-7fde-44c1-98fc-07b636809943:[D, B, B, H, G, H, H, G, B, H, D, H, H, G, H, D, G, B, G, G]
ddf7d33b-7fde-44c1-98fc-07b636809943:[H, D, H, D, G, G, H, D, B, B, H, H, B, G, G, B, G, H, H, D]
ddf7d33b-7fde-44c1-98fc-07b636809943:[H, D, H, D, G, G, H, D, B, B, H, H, B, G, G, B, H, H, H, D]
ddf7d33b-7fde-44c1-98fc-07b636809943:[H, B, G, G, D, H, B, G, D, B, D, H, G, D, D, G, H, G, G, D]
ddf7d33b-7fde-44c1-98fc-07b636809943:[G, B, G, H, B, D, B, H, B, B, B, B, H, D, B, G, D, B, B, G]
ddf7d33b-7fde-44c1-98fc-07b636809943:[G, B, G, H, B, H, B, G, B, G, G, B, H, G, B, B, D, B, B, G]
ddf7d33b-7fde-44c1-98fc-07b636809943:[G, B, B, B, B, D, D, G, B, G, G, B, H, G, B, B, D, D, B, D]
ddf7d33b-7fde-44c1-98fc-07b636809943:[G, H, H, D, G, H, G, B, B, H, H, B, H, D, H, D, B, H, H, B]
ddf7d33b-7fde-44c1-98fc-07b636809943:[G, H, H, D, B, B, G, G, G, H, H, B, H, H, H, D, B, H, H, B]
ddf7d33b-7fde-44c1-98fc-07b636809943:[B, G, G, B, G, G, B, D, D, H, G, D, H, B, G, G, G, B, G, H]
ddf7d33b-7fde-44c1-98fc-07b636809943:[B, G, G, B, G, G, B, G, D, H, G, D, H, B, G, D, G, B, G, H]
ddf7d33b-7fde-44c1-98fc-07b636809943:[H, G, B, G, B, H, G, G, H, H, B, H, D, D, D, G, D, D, H, G]
ddf7d33b-7fde-44c1-98fc-07b636809943:[H, G, B, G, B, H, G, G, H, H, G, D, D, D, D, G, H, D, H, G]
ddf7d33b-7fde-44c1-98fc-07b636809943:[G, B, G, D, B, G, G, H, D, H, B, G, H, B, B, G, B, H, G, B]
ddf7d33b-7fde-44c1-98fc-07b636809943:[G, B, G, G, B, H, G, H, D, H, B, H, H, B, B, G, B, H, G, B]
ddf7d33b-7fde-44c1-98fc-07b636809943:[H, G, D, G, G, D, H, B, D, B, H, B, H, H, H, G, D, G, G, B]
ddf7d33b-7fde-44c1-98fc-07b636809943:[B, B, G, H, B, G, D, G, G, D, H, D, B, H, D, G, B, D, B, H]
ddf7d33b-7fde-44c1-98fc-07b636809943:[H, D, B, B, D, D, H, H, B, B, H, D, H, G, H, H, G, H, H, D]
ddf7d33b-7fde-44c1-98fc-07b636809943:[G, G, G, D, B, G, G, H, G, D, H, H, B, G, G, D, B, D, H, D]
ddf7d33b-7fde-44c1-98fc-07b636809943:[H, B, G, B, B, G, G, B, D, H, B, B, G, D, D, D, D, D, B, G]
ddf7d33b-7fde-44c1-98fc-07b636809943:[B, G, H, H, H, D, D, H, H, B, B, H, G, H, H, B, H, B, G, D]
ddf7d33b-7fde-44c1-98fc-07b636809943:[D, G, H, H, G, G, D, G, G, B, B, G, B, G, B, G, B, H, G, B]
ddf7d33b-7fde-44c1-98fc-07b636809943:[G, H, B, H, H, G, H, B, B, D, G, H, G, G, D, G, H, H, G, B]
ddf7d33b-7fde-44c1-98fc-07b636809943:[D, H, B, G, D, G, D, D, B, B, D, D, G, G, D, D, H, B, B, H]
ddf7d33b-7fde-44c1-98fc-07b636809943:[D, G, G, D, B, B, B, H, H, G, H, H, G, G, G, D, D, B, G, G]
ddf7d33b-7fde-44c1-98fc-07b636809943:[B, D, G, B, G, B, G, H, G, H, B, B, H, G, D, G, D, B, B, H]
ddf7d33b-7fde-44c1-98fc-07b636809943:[B, H, H, D, H, G, H, B, G, B, H, H, D, B, G, G, D, G, B, H]
ddf7d33b-7fde-44c1-98fc-07b636809943:[B, B, H, D, H, G, H, B, B, B, G, H, D, B, G, G, D, G, B, H]
ddf7d33b-7fde-44c1-98fc-07b636809943:[H, H, G, G, B, G, D, G, B, D, G, G, H, D, B, D, H, H, H, G]
ddf7d33b-7fde-44c1-98fc-07b636809943:[G, B, B, B, G, H, D, B, H, B, H, B, H, G, D, D, B, D, B, H]
ddf7d33b-7fde-44c1-98fc-07b636809943:[H, B, D, B, B, D, B, B, D, H, B, D, D, G, G, G, B, B, G, H]
ddf7d33b-7fde-44c1-98fc-07b636809943:[G, B, H, G, B, B, B, D, D, B, G, H, G, H, G, D, H, D, H, B]
ddf7d33b-7fde-44c1-98fc-07b636809943:[D, B, G, B, D, D, B, G, D, B, H, B, G, D, H, G, G, B, G, D]
